iter	RMSE
0	0.4983399886
1	0.4968251403
2	0.4952443989
3	0.493767097
4	0.4922340359
5	0.490821965
6	0.489321137
7	0.487996745
8	0.4866385833
9	0.4852006309
10	0.4838517475
11	0.4826040243
12	0.4813671859
13	0.4800264409
14	0.4788057876
15	0.4773915653
16	0.4761799914
17	0.4749281064
18	0.4738823147
19	0.4727190053
20	0.4713177833
21	0.47017225
22	0.4689831874
23	0.4677335364
24	0.4666704921
25	0.4657099814
26	0.4645133555
27	0.4633634633
28	0.4622931126
29	0.4612127737
30	0.4599937194
31	0.458876354
32	0.457724694
33	0.4566306427
34	0.4555413164
35	0.4546947549
36	0.4536754393
37	0.4526988252
38	0.4517871065
39	0.4508258868
40	0.4498681971
41	0.4489495667
42	0.448130709
43	0.4471066541
44	0.446199651
45	0.445428535
46	0.4446593945
47	0.44387171
48	0.4430257925
49	0.4420940051
50	0.4413325024
51	0.4405068008
52	0.4396810065
53	0.4389388094
54	0.4381063559
55	0.437387439
56	0.4366030583
57	0.4357582447
58	0.4349712596
59	0.4341603619
60	0.4333847273
61	0.4325734076
62	0.431971599
63	0.4311714501
64	0.4302729159
65	0.4295916866
66	0.4288708832
67	0.4281370098
68	0.427602704
69	0.4267622525
70	0.4261212721
71	0.425541375
72	0.4248026658
73	0.4242049178
74	0.4235461726
75	0.4229918593
76	0.4223459043
77	0.4217619523
78	0.4211061683
79	0.4204650007
80	0.4198108881
81	0.4192277211
82	0.4186632112
83	0.4180179053
84	0.4173050543
85	0.4168032787
86	0.4160508
87	0.4152823233
88	0.4147506799
89	0.4140727172
90	0.4134886166
91	0.413031564
92	0.4125148147
93	0.4119840517
94	0.4115358488
95	0.4109503393
96	0.4104894646
97	0.4100108488
98	0.4093633173
99	0.4089784784
100	0.4083924784
101	0.4078733825
102	0.4073820033
103	0.4069442317
104	0.4064565
105	0.4060434417
106	0.4056802058
107	0.4053096737
108	0.4048786602
109	0.4046013042
110	0.4041177885
111	0.4035957824
112	0.4032401277
113	0.4028486078
114	0.4022761382
115	0.402057009
116	0.4016347317
117	0.4012711507
118	0.4007940982
119	0.4002837037
120	0.3998973912
121	0.3995368046
122	0.3992459114
123	0.3988106537
124	0.3983483119
125	0.397930379
126	0.3975519783
127	0.3971294102
128	0.3967672859
129	0.3964594498
130	0.3960874014
131	0.3956214859
132	0.3953487715
133	0.3949557814
134	0.3946055233
135	0.3942148961
136	0.3937540016
137	0.3934818856
138	0.393069636
139	0.392738741
140	0.3924364124
141	0.3921095078
142	0.391796715
143	0.3914799947
144	0.3910476629
145	0.3907158466
146	0.3904290928
147	0.3900397037
148	0.3895097521
149	0.3892325842
150	0.3888719077
151	0.3885385445
152	0.3881514959
153	0.3878494756
154	0.3875136741
155	0.3871734906
156	0.3869123429
157	0.3864843706
158	0.3861338995
159	0.3857913006
160	0.3855035835
161	0.3852100159
162	0.3849780365
163	0.3847307622
164	0.3845261044
165	0.3841417692
166	0.3838202499
167	0.3835029059
168	0.3831343987
169	0.3827653085
170	0.382329364
171	0.3820812905
172	0.3819204306
173	0.3815573296
174	0.381199151
175	0.3809763335
176	0.3806903595
177	0.3802874169
178	0.3800808861
179	0.3797545417
180	0.3794266507
181	0.3791557675
182	0.3788952444
183	0.378610255
184	0.3783182265
185	0.3780079967
186	0.3779810523
187	0.3777151144
188	0.3774800366
189	0.3771500411
190	0.37681213
191	0.376469742
192	0.3763106201
193	0.3760647838
194	0.3757764569
195	0.3755245988
196	0.3752737095
197	0.3750495413
198	0.3747291973
199	0.3745347717
200	0.3741446774
201	0.3739382401
202	0.3737975624
203	0.3735137021
204	0.3732691878
205	0.3729455849
206	0.3726806683
207	0.372415031
208	0.3721466008
209	0.371781175
210	0.3715367769
211	0.3713043572
212	0.370860091
213	0.3706225064
214	0.3704309087
215	0.3702758828
216	0.3699377176
217	0.3697226578
218	0.3695644434
219	0.3693721413
220	0.3691513057
221	0.3688301792
222	0.3687507559
223	0.3685232312
224	0.3682180627
225	0.368055032
226	0.36779957
227	0.3674461069
228	0.3671886106
229	0.3669890887
230	0.3666524488
231	0.3664222259
232	0.3664047946
233	0.366136335
234	0.3658656758
235	0.3656691344
236	0.365457225
237	0.3651683825
238	0.3649612709
239	0.3648035806
240	0.3645896922
241	0.364346056
242	0.3642196609
243	0.363925557
244	0.3636532907
245	0.3634560071
246	0.3632656486
247	0.3630271405
248	0.3628030089
249	0.3626159611
250	0.362406781
251	0.3621360883
252	0.3618888202
253	0.3617401188
254	0.361582942
255	0.3613462738
256	0.3611149874
257	0.3608964821
258	0.3606953213
259	0.3605656379
260	0.3603250518
261	0.3600598094
262	0.3598670086
263	0.3595680901
264	0.3593468212
265	0.3590165118
266	0.3588254613
267	0.3585385222
268	0.3583605172
269	0.3582577417
270	0.3580573884
271	0.3578745789
272	0.3575900904
273	0.3573949323
274	0.357141751
275	0.3569984216
276	0.3568249966
277	0.3566611219
278	0.3565277587
279	0.3562630137
280	0.3560908244
281	0.3558645277
282	0.3557403637
283	0.3554624729
284	0.3553228505
285	0.3550705541
286	0.354895052
287	0.3547302249
288	0.3546152627
289	0.3544875114
290	0.3543075704
291	0.354160312
292	0.3539832451
293	0.3537976232
294	0.3534769223
295	0.353345721
296	0.3533386404
297	0.3531025688
298	0.3528290928
299	0.3525324161
300	0.352335171
301	0.3521226881
302	0.3519783051
303	0.3517652284
304	0.3515990313
305	0.3514529747
306	0.3512570906
307	0.3510369699
308	0.3508392402
309	0.3505712542
310	0.350429772
311	0.3502803683
312	0.3501631116
313	0.3499315342
314	0.3497244207
315	0.3495325966
316	0.3493330043
317	0.3490834689
318	0.3488875119
319	0.3486853989
320	0.3485076496
321	0.3482913462
322	0.3482037905
323	0.3480588863
324	0.3478411544
325	0.3475523955
326	0.3474336478
327	0.3472694737
328	0.3471468155
329	0.3470641449
330	0.3468847217
331	0.3466130442
332	0.3462806096
333	0.3461362824
334	0.3458898717
335	0.3457364616
336	0.3454776457
337	0.345178843
338	0.3450537739
339	0.3448406725
340	0.3446898436
341	0.3444184305
342	0.3443126535
343	0.3442026248
344	0.3439828094
345	0.3437972064
346	0.3436654559
347	0.3434439463
348	0.3432633623
349	0.3430674664
350	0.3429192265
351	0.3427339045
352	0.3426069859
353	0.342437531
354	0.3423208404
355	0.3420761674
356	0.3418532709
357	0.3416464916
358	0.3415376963
359	0.3413079019
360	0.3412412983
361	0.3410017243
362	0.3407643589
363	0.3405543388
364	0.3403981955
365	0.3402522419
366	0.3401416234
367	0.3400661198
368	0.3398924154
369	0.3397728398
370	0.3396323157
371	0.3395441186
372	0.3393858721
373	0.3392370718
374	0.3390737795
375	0.3388584996
376	0.3387039926
377	0.3385883488
378	0.3384677913
379	0.3383223475
380	0.3381479201
381	0.3379656788
382	0.3378502138
383	0.337701515
384	0.3375283868
385	0.3374185157
386	0.3372187737
387	0.3370740076
388	0.336989991
389	0.3367963319
390	0.3365207044
391	0.3363185989
392	0.3361363761
393	0.3358713924
394	0.3357294272
395	0.3356275492
396	0.3355120002
397	0.3353760528
398	0.3351823962
399	0.3349606816
400	0.3348237964
401	0.33472393
402	0.3345556463
403	0.3343604725
404	0.3341454477
405	0.3340568417
406	0.3339100947
407	0.3337648903
408	0.3335597942
409	0.3334471919
410	0.3333083827
411	0.3332155312
412	0.3330918277
413	0.3329988353
414	0.3329146051
415	0.3327817176
416	0.3326851046
417	0.3326080257
418	0.3324175338
419	0.33232582
420	0.3321767149
421	0.3320072342
422	0.3318355485
423	0.3316299182
424	0.3315431729
425	0.3313406431
426	0.3311518555
427	0.3310598524
428	0.3309385693
429	0.3307171895
430	0.3305956003
431	0.3305225394
432	0.3303562797
433	0.330239335
434	0.3300911401
435	0.3299546062
436	0.329685322
437	0.3295841491
438	0.3293722637
439	0.3291949451
440	0.3290443402
441	0.32891202
442	0.3287603041
443	0.328605993
444	0.3285420089
445	0.328462152
446	0.3283182015
447	0.3281738904
448	0.3279790303
449	0.3278089098
450	0.3276109082
451	0.3275078455
452	0.3273227665
453	0.3271077861
454	0.3269319775
455	0.3267516
456	0.3266102405
457	0.326408333
458	0.326100694
459	0.325964183
460	0.3257205805
461	0.3255318835
462	0.3254137495
463	0.3252312889
464	0.3250773243
465	0.3248882116
466	0.3247593853
467	0.3245731087
468	0.3243948514
469	0.3242540889
470	0.3241670689
471	0.3239995611
472	0.3238603934
473	0.3236844264
474	0.3235819969
475	0.3234244846
476	0.3233186694
477	0.3231973234
478	0.3230725627
479	0.3228300118
480	0.3227693451
481	0.3226733233
482	0.3225565329
483	0.3223235927
484	0.3222533025
485	0.3220080543
486	0.3217634623
487	0.3216591553
488	0.3215671039
489	0.3214424855
490	0.3213692546
491	0.3211824373
492	0.3210376345
493	0.3208680125
494	0.3206951878
495	0.3205152802
496	0.3202797342
497	0.3201451326
498	0.3200330112
499	0.3199025501
500	0.31978893
501	0.3197336833
502	0.3196590347
503	0.3195535948
504	0.3193776999
505	0.3192564667
506	0.3192027392
507	0.3191027807
508	0.3189340425
509	0.3187899051
510	0.3185510581
511	0.3184125545
512	0.3183438756
513	0.3181745265
514	0.3180438733
515	0.3178712448
516	0.3176836182
517	0.3176129011
518	0.3175058735
519	0.3174026308
520	0.3172933461
521	0.3170853161
522	0.3169594947
523	0.3168430002
524	0.3166725185
