iter	Passed	Remaining
0	10	5592
1	23	6246
2	36	6422
3	48	6348
4	60	6328
5	72	6275
6	84	6233
7	95	6184
8	107	6173
9	119	6179
10	132	6174
11	145	6199
12	157	6195
13	169	6198
14	182	6200
15	194	6174
16	206	6174
17	220	6200
18	224	5981
19	236	5982
20	249	5978
21	261	5989
22	273	5975
23	285	5968
24	298	5965
25	311	5971
26	324	5980
27	338	6003
28	353	6043
29	369	6098
30	382	6098
31	394	6084
32	408	6084
33	420	6077
34	435	6102
35	440	5980
36	452	5964
37	465	5964
38	478	5961
39	491	5963
40	505	5967
41	517	5950
42	528	5928
43	540	5912
44	551	5881
45	561	5850
46	573	5830
47	585	5813
48	596	5794
49	608	5776
50	619	5758
51	633	5759
52	648	5772
53	662	5778
54	675	5769
55	689	5774
56	703	5778
57	716	5767
58	727	5748
59	740	5735
60	751	5718
61	762	5694
62	773	5673
63	784	5647
64	794	5621
65	804	5596
66	814	5568
67	825	5545
68	836	5527
69	847	5506
70	857	5485
71	868	5464
72	878	5440
73	889	5421
74	900	5404
75	911	5382
76	921	5363
77	933	5351
78	944	5333
79	955	5316
80	967	5302
81	980	5296
82	991	5279
83	1002	5264
84	1015	5257
85	1027	5243
86	1037	5225
87	1048	5206
88	1059	5190
89	1070	5173
90	1081	5157
91	1092	5143
92	1104	5129
93	1115	5114
94	1126	5099
95	1137	5084
96	1149	5072
97	1161	5061
98	1172	5045
99	1184	5032
100	1195	5019
101	1206	5003
102	1217	4989
103	1229	4976
104	1240	4961
105	1252	4949
106	1264	4940
107	1270	4905
108	1282	4894
109	1294	4882
110	1305	4869
111	1316	4855
112	1328	4844
113	1340	4833
114	1350	4815
115	1352	4768
116	1363	4756
117	1375	4743
118	1385	4728
119	1396	4713
120	1408	4701
121	1419	4688
122	1429	4672
123	1441	4661
124	1453	4649
125	1464	4636
126	1476	4626
127	1487	4613
128	1498	4599
129	1510	4588
130	1521	4576
131	1532	4563
132	1544	4552
133	1556	4541
134	1568	4532
135	1580	4519
136	1592	4509
137	1604	4499
138	1619	4497
139	1634	4494
140	1650	4494
141	1664	4488
142	1676	4479
143	1692	4477
144	1707	4474
145	1718	4461
146	1730	4449
147	1742	4439
148	1754	4428
149	1765	4414
150	1777	4402
151	1788	4388
152	1798	4373
153	1809	4358
154	1820	4346
155	1831	4332
156	1843	4320
157	1853	4306
158	1864	4292
159	1875	4278
160	1887	4266
161	1899	4255
162	1909	4241
163	1921	4228
164	1932	4216
165	1942	4201
166	1954	4189
167	1965	4177
168	1977	4165
169	1988	4152
170	2000	4141
171	2012	4131
172	2019	4108
173	2032	4099
174	2043	4086
175	2054	4074
176	2066	4062
177	2078	4052
178	2090	4040
179	2101	4028
180	2113	4017
181	2125	4005
182	2135	3991
183	2146	3978
184	2157	3965
185	2168	3952
186	2168	3920
187	2180	3909
188	2191	3896
189	2202	3883
190	2214	3872
191	2225	3859
192	2236	3846
193	2247	3834
194	2258	3822
195	2269	3808
196	2280	3797
197	2292	3785
198	2303	3773
199	2314	3761
200	2326	3750
201	2337	3737
202	2348	3725
203	2359	3713
204	2370	3700
205	2382	3689
206	2394	3677
207	2405	3665
208	2415	3652
209	2427	3641
210	2439	3630
211	2450	3617
212	2461	3605
213	2473	3594
214	2483	3580
215	2495	3570
216	2507	3559
217	2518	3546
218	2529	3534
219	2541	3523
220	2552	3511
221	2564	3499
222	2570	3480
223	2581	3468
224	2594	3459
225	2608	3451
226	2624	3445
227	2640	3439
228	2654	3431
229	2669	3423
230	2681	3412
231	2692	3400
232	2692	3374
233	2704	3363
234	2714	3350
235	2726	3338
236	2737	3326
237	2747	3313
238	2758	3301
239	2770	3290
240	2780	3276
241	2790	3263
242	2802	3251
243	2812	3239
244	2823	3227
245	2835	3215
246	2847	3204
247	2858	3192
248	2870	3182
249	2882	3170
250	2893	3158
251	2904	3146
252	2915	3134
253	2926	3121
254	2938	3110
255	2949	3098
256	2959	3085
257	2970	3073
258	2981	3062
259	2993	3050
260	3004	3038
261	3015	3026
262	3025	3014
263	3037	3003
264	3049	2991
265	3059	2978
266	3070	2967
267	3082	2955
268	3093	2943
269	3103	2931
270	3115	2919
271	3125	2907
272	3137	2895
